id,title,location,colors,focus_key,focus_label,duration,description,summary,extra,optional
technics,Technics,Boulderhalle,lila,,,,"Klettertechnik gezielt verbessern. Pro Aufgabe jeweils zwei Boulder (5–8 Züge): an einer Kante mit bewusst weggelassenen Griffen klettern (Fokus Körperposition und Hüfteinsatz), dasselbe in einer Verschneidung, sowie ein schwerer Boulder nur mit kleinen Tritten („Spax“, Körperspannung).","Mit Einschränkungen (weggelassene Griffe, nur kleine Tritte) an Körperposition, Hüfteinsatz und Spannung feilen.","Immer ausgeruht an den Anfang der Einheit legen, nicht im erschöpften Zustand klettern.",true
bouldertraining-vorbereiten,Bouldertraining vorbereiten,Boulderhalle,lila,,,,"Vorbereitende Einheit für eine Trainingsphase: Je 3–5 leichte, mittlere und schwere Trainingsboulder definieren und einüben, sodass sie in den folgenden 1–2 Wochen (3–5 Einheiten) als feste Trainingsboulder zur Verfügung stehen. Griffformen und Kletterstil bewusst variieren und alle Boulder einmal durchsteigen.",Feste Trainingsboulder in drei Schwierigkeiten definieren und einüben – Grundlage für die kommende Trainingsphase.,,true
der-faule-schuettelpunkt,Der faule Schüttelpunkt,Boulderhalle,gelb,,,,"Umgang mit schlechten Ruhepunkten lernen und Kraftausdauer verbessern. Ein Kreisel von 20–30 Zügen mit einer eher schlechten Schüttelposition wird definiert. Zwei Kletterer klettern abwechselnd: Während einer klettert, ruht der andere am Schüttelpunkt; fünf Züge bevor der Kletternde ankommt, verlässt der Ruhende die Position. Bei Sturz ist der Durchgang beendet; 3–4 Durchgänge.",An einem langen Kreisel mit schlechtem Ruhepunkt abwechselnd klettern und ruhen – Umgang mit faulen Schüttelpunkten.,,true
level-up,Level up,Kletterhalle,gelb|rot,,,,"Technische und taktische Fähigkeiten für den Routendurchstieg verbessern. Eine unbekannte Route ca. 1/3 Grad über der Rotpunktgrenze ausbouldern, alle Züge und Passagen mehrfach klettern und auswendig lernen. Ein Partner versucht dieselbe Route, man gibt sich gegenseitig Tipps. Nach ca. 30 min Pause die Route mit möglichst wenig Ruhen klettern und dabei besonders auf das Verbinden der noch unsicheren „Lücken“ achten.","Eine Route knapp über dem Limit ausbouldern, einprägen und nach Pause möglichst flüssig durchsteigen.",,true
boulder-doppeln,Boulder doppeln,Boulderhalle,gelb,,,,"Technik unter konditionellem Druck und Kraftausdauer trainieren. 8–12 bekannte Boulder wählen (4–6 etwas anstrengende, 4–6 schwere). Jeden Boulder klettern, einmal nachchalken (ca. 60 sek Pause) und denselben Boulder direkt erneut klettern. Nach jedem Boulder 3–5 min Pause. Ziel: den Boulder auch beim zweiten Mal – gerade noch, aber technisch sauber – schaffen.",Jeden Boulder zweimal direkt hintereinander klettern und dabei trotz Ermüdung technisch sauber bleiben.,,true
klettern-mit-kontrasten,Klettern mit Kontrasten,Kletterhalle / Boulderhalle,lila,fluessiger-klettern,Flüssiger Klettern,,"Wahrnehmung schulen und so den Kletterstil optimieren. 3–5 leichte bis mittlere Routen oder 5–10 Boulder jeweils zweimal klettern – einmal mit, einmal ohne eine Wahrnehmungsaufgabe – und die Unterschiede bewusst spüren. Mögliche Kontraste: mit/ohne Zusatzgewicht, mit/ohne Chalkbag, Nasen- vs. Mundatmung, schnell vs. langsam, Klettern unter Ablenkung (rückwärtszählen, buchstabieren) oder Clippen vom höchst- bzw. erstmöglichen Griff.",Routen/Boulder je zweimal klettern – mit und ohne Wahrnehmungsaufgabe – und die Kontraste bewusst erspüren.,,true
bewegung-fuehlen,Bewegung fühlen,Kletterhalle,lila,fluessiger-klettern,Flüssiger Klettern,60–90 min,"Bewegungsgefühl verbessern und locker, fließend klettern lernen. 10–12 Routen (ca. 100–200 Klettermeter) etwa 2–3 Grade unter der Leistungsgrenze klettern und sich mit dem Partner abwechseln. Ziel ist ein lockerer Kletterfluss mit präzisem Treten, gutem Auslösen der Hüfte und ruhiger Atmung. Dabei die Außenwelt bewusst abschalten.","Viele leichte Routen klettern und dabei in einen lockeren, fließenden Bewegungsrhythmus kommen.",,true
standardbewegungen,Standardbewegungen,Kletterhalle,lila,,,,"Die frontalen und eingedrehten Standardzüge sauber einschleifen. Bewusst auf leises Platzieren der Füße, Greifen aufs erste Mal, ein übertriebenes Auslösen des Zuges aus Hüfte und Greifarm sowie einen langen Arm in der Vorbereitung achten. An 3 leichten bis mittelschweren Routen frontal und eingedreht wiederholen.","Frontale und eingedrehte Standardzüge bewusst sauber klettern – leise treten, aus der Hüfte auslösen.",Auch als technikbetontes Aufwärmen geeignet – Variante: ein einzelnes Detail (z. B. Hüfteinsatz oder geräuschloses Treten) gezielt akzentuieren.,true
koerperhaltung,Körperhaltung,Boulderhalle,lila,,,,"Bewegungsgefühl über die Variation der Körperhaltung verbessern. Einen Boulder auf je zwei gegensätzliche Arten je 5-mal klettern (insgesamt 10-mal) und den Unterschied nachspüren: Schultern hoch/tief bzw. vorne/Brustbein raus, Arme angewinkelt/lang, Gesicht verkniffen/lächelnd sowie ein selbst erfundener Gegensatz. Eine Videoaufnahme kann unterstützen.","Denselben Boulder mit gegensätzlichen Körperhaltungen (Schultern, Arme, Gesicht) klettern und nachspüren.",,true
bewegungsfluss,Bewegungsfluss,Kletterhalle / Boulderhalle,lila,fluessiger-klettern,Flüssiger Klettern,,"Bewegungsfluss methodisch verbessern. Ausgehend von der sauberen Standardbewegung den Körper bewusst von der Wand weg bzw. an die Wand halten, herausfinden, warum man bei manchen Zügen „schaben“ muss, und die Trittfolge optimieren. Als Steigerung „One Touch“-Klettern: Mit dem zweiten Fuß sofort die Gewichtsverlagerung und Hubarbeit einleiten, ohne den Tritt zu korrigieren. Eine Videoanalyse hilft beim Erkennen.",Über kontrastierende Körperhaltung und optimierte Trittfolge bis zum „One Touch“-Klettern den Bewegungsfluss verbessern.,,true
bouldern-fuer-den-sixpack,Bouldern für den Sixpack,Boulderhalle,gelb,,,,"Bauch- und Rumpfmuskulatur sowie Kraftausdauer kräftigen und die Willenskraft stärken. Mehrere relativ steile Boulder (je 4–6 Züge) wählen und in Durchgängen klettern: normal, mit nur einem Fuß an der Wand, vor jedem Weitergreifen beide Füße vom Tritt lösen, die Füße wegpendeln lassen, möglichst schnell, abschließend wieder wie im ersten Durchgang. 1–3 min Pause je Boulder, insgesamt ca. 30 Boulder. Optional vorab Bauchmuskelübungen.","Steile Boulder in mehreren Durchgängen mit Rumpf-Fokus (Füße lösen, pendeln) klettern – Core und Kraftausdauer.",,true
lord-of-the-board-1,Lord of the Board 1,Boulderhalle,rot,,,,"Maximalkraft sehr isoliert am Campusboard trainieren (sehr intensiv). 3–5 Übungen aus einer Sammlung auswählen, z. B. Über-Kreuz-Hangeln, Hangeln mit großem Griffabstand an Henkeln oder Leisten, dynamisches Ziehen, versetztes Halten, einarmiges Hängen, Doppeldynamos oder versetzte Doppeldynamos.","Maximalkraft am Campusboard – Hangeln, Dynamos und Hängen, nur top aufgewärmt und ausgeruht.","Nur für erfahrene, sehr gut aufgewärmte Kletterer – hohes Verletzungsrisiko an Fingern und Schultern; nie im erschöpften Zustand.",true
lord-of-the-board-2,Lord of the Board 2,Boulderhalle,rot,,,,"Maximalkraft der wichtigsten Klettermuskeln am Campusboard verbessern, mit Fokus aufs Weitergreifen statt auf schwere Einzelzüge. Zwei Übungen auswählen (z. B. Hoch- und Runterhangeln an Henkeln, Slopern oder Leisten, verschiedene Zugmuster, Hangelquadrat). Je Übung 10–15 Wiederholungen, 3–5 Serien mit 2–3 min Pause.","Campusboard-Training mit Fokus aufs Weitergreifen: 10–15 Wiederholungen, 3–5 Serien, Pausen exakt einhalten.",Pausen und Wiederholungszahl exakt einhalten; nur gut aufgewärmt durchführen und nicht in den ausgestreckten Arm fallen.,true
balance-of-power,Balance of Power,Kletterhalle / Boulderhalle,rot,,,20–40 min,"Umfassendes Krafttraining, das auch beim Klettern wenig beanspruchte Muskelgruppen abdeckt (ideal für die Aufbauphase). Aus einer Übungssammlung 3–4 Übungen auswählen, z. B. Tauklettern, Klimmzug mit Durchdrücken in den Stütz, Ropeladder, Fahne, Hangwaage, Handstand, Klimmzüge, Dips oder Liegestütz – jeweils mit festgelegten Serien und Wiederholungen. Über den ganzen Trainingszyklus mindestens alle zwei Wochen einbauen.","Ganzkörper-Krafttraining mit wechselnden Übungen (Klimmzüge, Dips, Fahne, Hangwaage …) für die Aufbauphase.",,true
hochintensitaetstraining-hit,Hochintensitätstraining (HIT),Kletterhalle / Boulderhalle,rot,,,,"In kurzer Zeit durch hohe Intensität und geringen Umfang Maximalkraft aufbauen – etwa 2-mal pro Woche je ein Satz pro Übung. Nach einem Aufwärmsatz (3–4 Wiederholungen) folgt pro Übung ein Satz mit 8–10 sehr langsamen Wiederholungen (ca. 7 sek pro Wiederholung) bis zum Punkt des momentanen Muskelversagens (PmM). Anschließend mit einer Intensitätstechnik (Reduktionssatz, Intervall, Teilwiederholungen) verschärfen. Beispielübungen: Klimmzug, Liegestütz, Loch- und Sloperhängen, Dip bzw. Knickstütz, Leistenhängen und Crunch – die Last so wählen, dass nach 8–10 Wiederholungen bzw. 8–10 Sekunden das PmM erreicht ist.","Maximalkraft mit wenigen, sehr langsamen Sätzen bis zum Muskelversagen – kurz, aber hochintensiv.","Pausen und Technik exakt einhalten; nur für austrainierte, gut aufgewärmte Kletterer.",true
krafttraining-unter-instabilitaet,Krafttraining unter Instabilität,Kletterhalle / Boulderhalle,rot,,,,"Die Arbeitsmuskulatur in Kombination mit Stütz- und Rumpfmuskulatur stärken, indem an instabilen Geräten (z. B. Rock Rings, drehbare Griffe, „Matros Master“, Rally Bar) trainiert wird. Nach einem Aufwärmsatz pro Übung ein Satz mit 8–10 langsamen Wiederholungen (5–7 sek pro Wiederholung), 3 Serien; die Last so wählen, dass gerade 8–10 Wiederholungen gelingen. Übungen u. a. Klimmzug, Hängen, Liegestütz/Dip, Griff aufrollen, Heben in die Hangwaage.","Kraftübungen an instabilen Geräten – fordert Arbeits-, Stütz- und Rumpfmuskulatur gleichzeitig.",,true
mangrovenbaum,Mangrovenbaum,Kletterhalle,gelb,,,,"Kraftausdauer mit hoher Variabilität trainieren, indem Routenteile neu kombiniert werden. 3–4 nah bzw. übereinander liegende Routen wählen, die sich an einem Ruhepunkt schneiden. Den unteren und oberen Teil gedanklich trennen und durch Kombination 9 bzw. 16 verschiedene Routen erzeugen. Die so entstehenden Routen je nach Schwierigkeit und Länge mit 10–20 min Pause klettern.",Routenteile an einem Knotenpunkt neu kombinieren und so viele unterschiedliche Kraftausdauer-Routen klettern.,,true
visualisieren-mit-video,Visualisieren mit Video,Kletterhalle,lila,,,,"Das Erinnern und gedankliche Vorstellen von Bewegungsabläufen schulen. Einen Versuch in einer schwierigen Projektroute (onsight oder rotpunktnah) filmen lassen. Anschließend aus dem Gedächtnis Fragen beantworten: Wo wurde geclippt? Wie war die Reihenfolge der Griffe und Tritte? Welche Trittart, welche Schüttel- und Chalkpunkte? Die Antworten danach mit dem realen Video vergleichen.","Einen Kletterversuch filmen, ihn aus dem Gedächtnis rekonstruieren und mit dem Video abgleichen.",,true
reise-durch-den-koerper,Reise durch den Körper,Kletterhalle / Boulderhalle,lila,,,ca. 20 min,"Die Fähigkeit zu entspannen verbessern – hilfreich z. B. in der Isolation bei Wettkämpfen. An einem ruhigen Ort äußere Einflüsse minimieren (Musik, Tuch über den Kopf), zunächst 10-mal ruhig und tief atmen. Danach nacheinander einzelne Muskelgruppen (Fuß und Unterschenkel, Oberschenkel, Gesäß, Bauch, Rücken, Gesicht, Arme) für ca. 5 sek anspannen und anschließend bewusst lösen.","Progressive Muskelentspannung mit ruhiger Atmung – gezielt entspannen lernen, etwa für die Wettkampf-Isolation.",,true
